ID;name;count;lat;lon
31417;Kansas Ave & Sherman Cr NW;511;38.94793;-77.02141
31669;3rd & M St SE;506;38.87683;-77.00214
31112;Harvard St & Adams Mill Rd NW;495;38.92787;-77.04335
31207;Georgia Ave & Fairmont St NW;479;38.92488;-77.02221
31304;36th & Calvert St NW / Glover Park;479;38.92258;-77.07033
31500;4th & W St NE;477;38.91907;-77.00065
31515;Fort Totten Metro;477;38.95238;-77.00274
31009;Crystal Dr & 27th St S;476;38.84845;-77.05149
31637;North Capitol St & G Pl NE;463;38.89971;-77.00893
31969;Braddock Rd Metro South;462;38.81347;-77.05373
31621;4th & D St NW / Judiciary Square;457;38.89536;-77.01610
31504;10th & Monroe St NE;448;38.93246;-76.99351
31601;19th & East Capitol St SE;447;38.88960;-76.97690
31917;N Lynn St & Fairfax Dr;443;38.89385;-77.07086
31929;Mt Vernon Trail & S. Washington St.;441;38.79306;-77.04942
31654;King Greenleaf Rec Center;440;38.87621;-77.01244
31041;Prince St & Union St;422;38.80312;-77.04036
31635;Potomac Ave & 8th St SE;421;38.87674;-76.99447
31607;13th & E St SE;418;38.88292;-76.98790
31037;Ballston Metro / Stuart St & 9th St N;410;38.88104;-77.11177
31523;Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center;408;38.91499;-77.00779
31507;1st & Washington Hospital Center NW;404;38.92875;-77.01243
31959;Main Line Blvd & E Glebe;397;38.83242;-77.04977
31939;Wilson Blvd & N Oak St;396;38.89507;-77.07382
31960;Commonwealth and Reed;395;38.83684;-77.05727
31024;Virginia Square Metro / Monroe St & 9th St N;391;38.88278;-77.10317
31656;Maryland Ave & 17th St NE;386;38.90194;-76.97863
31516;Rhode Island Ave Metro;378;38.92068;-76.99585
31034;Fairfax Dr & N Randolph St;377;38.88262;-77.10937
31000;Eads St & 15th St S;376;38.85897;-77.05324
31030;Langston Blvd & N Adams St;375;38.89594;-77.08900
31520;24th & R St NE / National Arboretum;374;38.91263;-76.97193
31924;Wilson Blvd & N Troy St;372;38.89255;-77.08209
31042;Market Square / King St & Royal St;366;38.80471;-77.04336
32423;National Harbor Carousel;363;38.78590;-77.01670
31408;Takoma Metro;351;38.97522;-77.01686
31944;S Clark St & 33rd St;347;38.84502;-77.05193
31421;Grant Circle;346;38.94204;-77.01822
31512;Neal St & Trinidad Ave NE;336;38.90373;-76.98721
31016;Clarendon Blvd & Pierce St;327;38.89344;-77.07638
31027;Wilson Blvd & N Quinn St;325;38.89405;-77.07860
31098;King St Metro North / Cameron St;318;38.80703;-77.05981
31300;Van Ness Metro / UDC;317;38.94455;-77.06389
31529;Edgewood Rec Center;317;38.92409;-77.00210
31259;20th St & Virginia Ave NW;315;38.89472;-77.04513
31937;Arlington Blvd & Ft Myer Dr;314;38.89086;-77.07489
31013;Eads St & 22nd St S;313;38.85438;-77.05341
31310;Connecticut & Nebraska Ave NW;312;38.95502;-77.06997
31052;Potomac Ave & 35th St S;307;38.84401;-77.05053
31407;14th St & Colorado Ave NW;306;38.95642;-77.03296
32002;Bethesda Ave & Arlington Rd;306;38.98110;-77.09742
31010;S Glebe Rd & Potomac Ave;302;38.84260;-77.05020
31021;Clarendon Blvd & N Fillmore St;299;38.88810;-77.09308
31665;Stadium Armory Metro;294;38.88549;-76.97719
31039;Wilson Blvd & N Quincy St;293;38.87999;-77.10784
31313;Connecticut Ave & Tilden St NW;293;38.94114;-77.06197
31712;Oklahoma Ave & D St NE;292;38.89447;-76.97483
31031;15th St & N Scott St;288;38.89054;-77.08094
31411;Georgia & Missouri Ave NW;287;38.96135;-77.02785
31514;Hamlin & 7th St NE;286;38.92750;-76.99720
31658;Rosedale Rec Center;285;38.89782;-76.97963
31720;Anacostia Roller Skating Pavillion;285;38.87877;-76.97093
31026;Washington Blvd & 10th St N;280;38.88473;-77.09349
31326;Hardy Rec Center;279;38.90969;-77.08563
32055;Woodmont Ave & Strathmore St;279;38.97987;-77.09352
31091;Joyce St & 16th St S;276;38.85926;-77.06328
31015;Wilson Blvd & Ft Myer Dr;273;38.89460;-77.07229
31004;Aurora Hills Cmty Ctr / 18th St & S Hayes St;271;38.85787;-77.05949
31617;Bladensburg Rd & Benning Rd NE;271;38.90042;-76.98288
31968;King St & N Pitt St;267;38.80480;-77.04467
31406;14th & Upshur St NW;263;38.94249;-77.03268
31019;Wilson Blvd & N Edgewood St;262;38.88939;-77.09186
31060;S Arlington Mill Dr & Campbell Ave;262;38.84232;-77.08956
31319;Wisconsin Ave & Brandywine St NW;261;38.94982;-77.08021
31916;Potomac Ave & Swann Ave;261;38.82955;-77.04784
31308;39th & Veazey St NW;259;38.94384;-77.07708
32046;River Rd & Landy Ln;257;38.96500;-77.10338
31418;New Hampshire & Gallatin St NW;253;38.95160;-77.01281
31528;John McCormack Rd NE;253;38.93887;-76.99722
31513;Rhode Island Ave & V St NE;248;38.91815;-77.00474
31918;Madison St & Fairfax St;241;38.81235;-77.04069
31023;Fairfax Dr & Wilson Blvd;238;38.88580;-77.09775
31079;Langston Blvd & N Cleveland St;234;38.89494;-77.09169
31303;Tenleytown / Wisconsin Ave & Albemarle St NW;230;38.94759;-77.07937
31318;Connecticut Ave & Yuma St NW;230;38.94715;-77.06511
